Oportunitats;ID;Grau;Universitat;Poblacio;Plaçes orientatives;Nota;Anàlisi Musical (*);Arts Escèniques (*);Biologia;Ciències Generals (*);Cor i tècnica Vocal (*);Dibuix Artístic;Dibuix Tècnic;Dibuix Tècnic aplicat a les Arts;Disseny;Física;Fonaments Artístics (Historia de l'Art);Funcionament de l’Empresa i Models de Negoci (Empresa);Geografia;Geologia i Ciències Ambientals (*);Història de la Música i de la Dansa (*);Història de l'Art;Literatura Castellana (*);Literatura Catalana (*);Literatura Dramàtica (*);Llengua i Cultura Gregues (Grec) (*);Llengua i Cultura Llatines (Llatí) (*);Matemàtiques;Matemàtiques Aplicades;Moviments culturals i artístics (*);Química;Tècniques d’Expressió Graficoplàstica (*);Tecnologia
5;71007;Comunicació Audiovisual;URV;Tarragona;45;8,771;0,2;0,2;;;0,2;0,2;0,2;0,2;0,2;;0,2;;0,2;;;0,2;0,2;0,2;;0,2;0,2;0,2;0,2;0,2;;0,2;
5;91006;Comunicació Audiovisual;UVic-UCC;Vic;40;5;0,2;0,2;;;0,2;0,2;0,2;0,2;0,2;;0,2;;0,2;;;0,2;0,2;0,2;;0,2;0,2;0,2;0,2;0,2;;0,2;
5;81005;"Comunicació Audiovisual i Multimèdia ""ERAM""";UdG;Salt;50;5;0,2;0,2;;;0,2;0,2;0,2;0,2;0,2;0,2;0,2;;;;;0,2;;;;;;0,2;0,2;0,2;;0,2;0,1
5;81067;"Comunicació Audiovisual i Multimèdia ""ERAM"" (docència en anglès)";UdG;Salt;20;5;0,2;0,2;;;0,2;0,2;0,2;0,2;0,2;0,2;0,2;;;;;0,2;;;;;;0,2;0,2;0,2;;0,2;0,1
6;11098;Comunicació Audiovisual / Gestió d'Informació i Documentació Digital (Simultaneïtat);UB;Barcelona;20;10,01;0,2;0,2;0,1;;0,2;0,2;0,2;0,2;0,2;0,1;0,2;0,2;0,2;0,1;;0,2;0,2;0,2;;0,2;0,2;0,2;0,2;0,2;0,1;0,2;
5;81068;Comunicació Cultural;UdG;Girona;50;5;0,2;0,2;;0,2;0,2;0,2;;0,2;0,2;;0,2;;0,2;;;0,2;0,2;0,2;;0,2;0,2;;;0,2;;0,2;0,2
6;21121;Comunicació de les Organitzacions;UAB;Cerdanyola del Vallès;60;9,39;;;;0,2;;;;0,2;0,2;;;0,2;;;;;0,2;0,2;;;;;0,2;;;0,2;
6;21126;Comunicació Interactiva;UAB;Cerdanyola del Vallès;60;7,6;;;;0,2;;;;0,2;0,2;0,2;0,2;;;;;0,2;;;;;;0,2;0,2;0,2;;0,2;0,2
5;11067;Comunicació i Indústries Culturals;UB;Barcelona;No encontrado;9,125 ;0,1;0,1;;;0,1;;;0,2;0,2;;0,2;0,2;;;;0,2;0,2;0,2;;0,2;0,2;;;0,2;;0,2;
5;61009;Comunicació i Periodisme Audiovisuals;UdL;Lleida;90;5,236;0,1;0,1;;0,1;0,1;0,2;;0,2;0,2;;0,2;;0,2;;;0,2;0,2;0,2;;0,2;0,2;0,2;0,2;0,2;;0,2;
9;61042;Conservació de la Natura / Enginyeria Forestal (Simultaneïtat);UdL;Lleida;25;5;;;0,2;;;;0,1;;;0,2;;0,1;;0,2;;;;;;;;0,2;;;0,2;;0,2
3;11100;Conservació - Restauració de Béns Culturals;UB;Barcelona;50;5,188;;;;;;0,2;0,2;0,2;0,2;;0,2;;;;;0,2;;;;0,2;0,2;;;0,2;;0,2;
6;11010;Criminologia;UB;Barcelona;70;9,506;;;;0,2;;;;;;;;0,2;0,2;;;;;;;;0,2;0,2;0,2;;;;
6;21068;Criminologia;UAB;Cerdanyola del Vallès;65;9,16;;;;0,2;;;;;;;;0,2;0,2;;;;;;;;0,2;0,2;0,2;;;;
6;81013;Criminologia;UdG;Girona;55;8,491;;;;0,2;;;;;;;;0,2;0,2;;;;;;;;0,2;0,2;0,2;;;;
6;91050;"Criminologia ""ESERP""";UVic-UCC;Barcelona;40;5;;;;0,2;;;;;;;;0,2;0,2;;;;;;;;0,2;0,2;0,2;;;;
7;11088;Criminologia / Dret (Simultaneïtat);UB;Barcelona;No encontrado;NS;;;;0,2;;;;;;;;0,2;0,2;;;;;;;0,1;0,2;0,2;0,2;;;;
7;21108;Criminologia / Dret (Simultaneïtat);UAB;Cerdanyola del Vallès;25;10,826;;;;0,2;;;;;;;;0,2;0,2;;;;;;;0,1;0,2;0,2;0,2;;;;
